,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,new_addition,github_release_downloads,gitlab_id,gitlab_url
162,GitHub,g3xx/mkdocs-Github,mkdocs-github,['theme'],theming,https://github.com/g3xx/mkdocs-Github,https://github.com/g3xx/mkdocs-Github,MIT,2020-02-25 04:04:58,2020-02-25 09:13:04,2020-02-25 09:12:44,9.0,,,2.0,,,,1.0,,,,Theme Mkdocs Like a Github. DEMO =.,1.0,1.0,,https://pypi.org/project/mkdocs-github,13.0,13.0,3,False,3.0,,,,
163,docstyler,hfagerlund/mkdocs-docstyler-plugin,,['plugin'],html-css,https://github.com/hfagerlund/mkdocs-docstyler-plugin,https://github.com/hfagerlund/mkdocs-docstyler-plugin,BSD-3-Clause,2019-02-10 21:05:18,2019-02-17 04:17:30,2019-02-16 01:29:25,2.0,,,1.0,,,,,,,,Plugin to add alternative stylesheets to MkDocs custom themes.,,,,,,,3,False,3.0,,,,
164,mkdocs-copy,chikamichi/mkdocs-copy,mkdocs-copy,['plugin'],nav-pages,https://github.com/chikamichi/mkdocs-copy,https://github.com/chikamichi/mkdocs-copy,MIT,2021-09-11 17:22:19,2021-09-21 14:19:26,2021-09-21 14:19:26,2.0,,,1.0,,1.0,,,,,1.0,A MkDocs plugin that lets you copy (and maybe transform) arbitrary doc files to the build.,,,,https://pypi.org/project/mkdocs-copy,11.0,11.0,3,False,3.0,,1.0,,
165,Inspired,rnason/mkdocs-inspired,mkdocs-inspired,['theme'],theming,https://github.com/rnason/MKDocs-Inspired,https://github.com/rnason/MKDocs-Inspired,MIT,2016-07-18 21:33:32,2016-07-19 00:00:19,2016-07-18 23:59:56,2.0,,,2.0,,,,,,,,Mkdocs mobile responsive theme with slider navigation inspired by bootswatch flatly.,2.0,2.0,,https://pypi.org/project/mkdocs-inspired,7.0,7.0,3,False,3.0,,,,
166,sequence-js,fcannizzaro/mkdocs-sequence-js-plugin,,['plugin'],charts,https://github.com/fcannizzaro/mkdocs-sequence-js-plugin,https://github.com/fcannizzaro/mkdocs-sequence-js-plugin,MIT,2019-11-06 22:44:12,2020-02-28 16:45:04,2020-02-28 16:43:34,11.0,,1.0,2.0,,1.0,2.0,4.0,,,,MkDocs plugin to render sequence.js blocks.,,,2.0,,,,2,False,3.0,,,,
167,emailprotect,rkoe/mkdocs-emailprotect,,['plugin'],links-refs,https://github.com/rkoe/mkdocs-emailprotect,https://github.com/rkoe/mkdocs-emailprotect,MIT,2020-01-07 21:52:50,2020-01-21 00:13:01,2020-01-21 00:13:00,4.0,,,2.0,,,1.0,1.0,,,,A MkDocs plugin that tries to obscure email-addresses from address-harvesting spam-bots.,,,,,,,2,False,3.0,,,,
168,helm,M00nF1sh/mkdocs-helm,mkdocs-helm,['plugin'],site-conversion,https://github.com/M00nF1sh/mkdocs-helm,https://github.com/M00nF1sh/mkdocs-helm,Apache-2.0,2018-11-19 23:21:08,2021-08-11 10:10:01,2018-11-21 02:32:03,2.0,,1.0,1.0,3.0,,,1.0,,,,An mkdocs plugin that turns docs website into helm repository.,,,,https://pypi.org/project/mkdocs-helm,14.0,14.0,2,False,3.0,,,,
169,pagenav-generator,Andre601/mkdocs-pagenav-generator,,['plugin'],nav-pages,https://github.com/Andre601/mkdocs-pagenav-generator,https://github.com/Andre601/mkdocs-pagenav-generator,MIT,2021-02-22 23:26:06,2022-04-17 15:52:15,2022-04-17 15:52:15,17.0,2.0,1.0,2.0,1.0,,1.0,1.0,,,,Little something to automatically generate a Navigation within a page itself. Depends on Awesome-pages.,,,2.0,,,,1,False,3.0,,,,
170,filename-title,mipro98/mkdocs-filename-title-plugin,,['plugin'],nav-pages,https://github.com/mipro98/mkdocs-filename-title-plugin,https://github.com/mipro98/mkdocs-filename-title-plugin,AGPL-3.0,2020-04-25 08:37:18,2020-04-25 09:54:42,2020-04-25 09:54:34,2.0,,1.0,2.0,,,,1.0,,,,A mkdocs plugin which lets you use filenames as page tiltles.,,,,,,,1,False,3.0,,,,
171,mkdocs-autozip,martinohanlon/mkdocs_autozip,mkdocs-autozip,['plugin'],site-conversion,https://github.com/martinohanlon/mkdocs_autozip,https://github.com/martinohanlon/mkdocs_autozip,,2020-08-12 14:55:13,2020-11-04 15:56:56,2020-11-04 15:56:40,9.0,,,1.0,,,1.0,1.0,,,,A mkdocs plugin for auto zipping the document source.,,,,https://pypi.org/project/mkdocs-autozip,103.0,103.0,1,False,3.0,,,,
172,ansible-document,,ansible-mkdocs,['plugin'],api-docs,,,,,,,,,,,,,,,,,,Auto-generate ansible role documentation.,,,,https://pypi.org/project/ansible-mkdocs,52.0,52.0,1,False,3.0,,,,
173,mkdocs-pug,vzhong/mkdocs_pug,mkdocs-pug,['plugin'],nav-pages,https://github.com/vzhong/mkdocs_pug,https://github.com/vzhong/mkdocs_pug,,2021-10-20 07:17:04,2021-10-20 08:15:06,2021-10-20 08:15:04,2.0,,,2.0,,,,,,,,Use pug templates with your mkdocs template.,,,,https://pypi.org/project/mkdocs-pug,13.0,13.0,1,False,3.0,,,,
174,Mkdocs translations plugin,,mkdocs-translations,['plugin'],i18n-l10n,,,,,,,,,,,,,,,,,,Internationalization plugin for mkdocs.,,,,https://pypi.org/project/mkdocs-translations,15.0,15.0,0,False,,,,,
